date,competition,journee,equipe_dom,equipe_ext,buts_dom,buts_ext
1997-10-08,ligue-1,11,Olympique Lyonnais,Montpellier HSC,1,2
1997-10-08,ligue-1,11,Girondins Bordeaux,RC Lens,3,0
1997-10-08,ligue-2,14,OGC Nice,Nîmes Olympique,3,0
1997-10-09,national,12,Stade Poitevin,CS Sedan,1,2
1997-10-09,national,12,Thouars Foot 79,US Lusitanos de Saint-Maur,4,0
1997-10-09,national,12,US Raon l'Etape,Olympique Noisy-le-Sec Banlieue 93,1,0
1997-10-09,national,12,US Créteil-Lusitanos,Saint-Denis Saint-Leu FC,0,0
1997-10-09,ligue-2,14,AS Nancy Lorraine,FC Sochaux,2,0
1997-10-09,national,12,Paris FC,RC France 92,2,1
1997-10-09,national,12,Gazélec FC Ajaccio,FC Istres,2,2
1997-10-09,national,12,Étoile FC,Angers SCO,1,0
1997-10-09,national,12,AS Angoulême Charente,AC Ajaccio,0,1
1997-10-14,national,13,Olympique Noisy-le-Sec Banlieue 93,Gazélec FC Ajaccio,1,3
1997-10-14,national,13,US Lusitanos de Saint-Maur,AS Angoulême Charente,1,1
1997-10-14,national,13,Saint-Denis Saint-Leu FC,Stade Poitevin,1,0
1997-10-14,national,13,SAS Épinal,US Créteil-Lusitanos,0,2
1997-10-14,national,13,AC Ajaccio,Paris FC,1,0
1997-10-14,national,13,CS Sedan,Étoile FC,4,1
1997-10-14,national,13,Tours FC,US Raon l'Etape,2,1
1997-10-14,national,13,RC France 92,Thouars Foot 79,1,1
1997-10-15,ligue-2,15,Nîmes Olympique,ESTAC Troyes,1,1
1997-10-15,ligue-2,15,Red Star FC,AS Nancy Lorraine,0,1
1997-10-15,ligue-2,15,FC Sochaux,FC Gueugnon,2,0
1997-10-15,ligue-2,15,ASOA Valence,Amiens SC,3,0
1997-10-15,ligue-2,15,FC Martigues,Stade Lavallois,3,2
1997-10-15,ligue-2,15,AS Beauvais,SC Toulon,3,2
1997-10-15,ligue-2,15,Le Mans FC,ES Wasquehal,1,0
1997-10-15,ligue-2,15,Lille OSC,SM Caen,3,0
1997-10-15,ligue-2,15,FC Lorient,FC Mulhouse,1,1
1997-10-15,ligue-2,15,Louhans-Cuiseaux,OGC Nice,0,1
1997-10-16,ligue-1,12,EA Guingamp,Girondins Bordeaux,0,1
1997-10-16,ligue-1,12,Olympique Marseille,FC Metz,2,0
1997-10-17,national,14,Gazélec FC Ajaccio,Tours FC,3,1
1997-10-17,national,14,Étoile FC,RC France 92,1,1
1997-10-17,national,14,Stade Poitevin,US Lusitanos de Saint-Maur,1,1
1997-10-17,national,14,Thouars Foot 79,SAS Épinal,3,1
1997-10-17,national,14,US Raon l'Etape,Saint-Denis Saint-Leu FC,2,0
1997-10-17,national,14,US Créteil-Lusitanos,Angers SCO,2,2
1997-10-17,national,14,FC Istres,CS Sedan,3,2
1997-10-17,national,14,Paris FC,AS Angoulême Charente,1,1
1997-10-17,ligue-1,12,RC Strasbourg,AS Cannes,2,0
1997-10-17,ligue-1,12,Montpellier HSC,LB Châteauroux,1,0
1997-10-17,ligue-1,12,Havre AC,Stade Rennais,1,1
1997-10-17,ligue-1,12,AJ Auxerre,SC Bastia,2,0
1997-10-17,ligue-1,12,RC Lens,AS Monaco,1,0
1997-10-17,ligue-1,12,FC Nantes,Olympique Lyonnais,3,2
1997-10-17,ligue-1,12,Toulouse FC,Paris Saint-Germain,0,2
1997-10-18,ligue-2,16,OGC Nice,AS Beauvais,2,0
1997-10-18,ligue-2,16,Chamois Niortais,FC Martigues,0,0
